Nick,Message,Timestamp
widerbeets,no,2019-01-22 21:08:18
anesthesiacat,"no, say tardis more",2019-01-22 21:08:18
southernuk,"here's a primitive copy of skyrim on a bbc micro, get distracted!",2019-01-22 21:08:22
mistersp00n,these eternals are well creepy :),2019-01-22 21:08:27
dbolloxed,i see colin bakers in it again.,2019-01-22 21:08:28
troyisimba,@glennrules how can you take a guy wiht a crow hat seriously? :d,2019-01-22 21:08:30
jovetne,"@glennrules not really, but i think his intimidation is for children",2019-01-22 21:08:35
kdoomed,ginny needs to stop writing in riddle's diary,2019-01-22 21:08:40
forever49x,the marks of s souless finger,2019-01-22 21:08:43
tehepicjack,(spoiler) turlough falls overboard and sad music plays,2019-01-22 21:08:44
